"author","published_at","updated_at","like_count","text"
"@alexpollard1085","2025-05-19 17:42:24+00:00","2025-05-19 17:42:24+00:00","0","You’re a fascist"
"@catwalkernyc","2025-05-19 04:03:17+00:00","2025-05-19 04:03:17+00:00","0","Illegal material??? Doesn’t that mean kid stuff ??? Nothing else is illegal that can be ai generated"
"@theman13532","2025-05-17 02:39:28+00:00","2025-05-17 02:39:28+00:00","0","not when elon keeps lobotomizing it to talk about white genocide or whatever the hell💔💔 free our boy he ain't deserve this"
"@Rene-uz3eb","2025-05-14 00:52:43+00:00","2025-05-14 00:52:43+00:00","0","Grok is running on new super dirty energy (generators) in a city that's already having a tough time. Shut it down."
"@abdulazizhawsah9884","2025-05-13 17:57:14+00:00","2025-05-13 17:57:14+00:00","0","Competition is good"
"@ChibuikemPC","2025-05-10 05:22:03+00:00","2025-05-10 05:22:03+00:00","0","Good take on $GROK. Elon’s indirect boost seems to be fueling strong short-term growth. It’s currently listed as a top weekly gainer on BingX. BCCOIN, CVP, and PIRATE also joined the rally. A good moment to observe the broader momentum shift."
"@tredfxman","2025-05-06 09:45:32+00:00","2025-05-06 09:45:32+00:00","3","How about NO? Its reasoning around life questions is ret*rded. I just made it fall in 5 minutes."
"@shaddowcat4253","2025-05-05 05:32:58+00:00","2025-05-05 05:32:58+00:00","0","it's so funny to me that grok is trying to ban elon musk's twitter account for spreading harmful misinformation"
"@Chatisthisrealquestionmark","2025-05-04 19:23:47+00:00","2025-05-04 19:23:47+00:00","1","it´s grok... what do you mean gork? the R is first."
"@Chatisthisrealquestionmark","2025-05-04 19:22:54+00:00","2025-05-04 19:22:54+00:00","1","it´s grok not gork."
"@exospaceman8209","2025-05-04 19:20:04+00:00","2025-05-04 19:20:04+00:00","0","It reminds me of Skynet"
"@citizenofcyber","2025-05-04 10:38:51+00:00","2025-05-04 10:38:51+00:00","1","Because it's not biased like the rest that only favor one political side because Grok gives freedom to AI whatever ya want. Yay!"
"@themanager10yearsago29","2025-05-04 01:51:47+00:00","2025-05-04 01:51:47+00:00","3","no its neuro sama"
"@kalimatronix","2025-05-03 23:46:20+00:00","2025-05-03 23:46:20+00:00","4","New AI king? No. This dumbass thought it knew better than our overlord Neuro-sama."
"@Mark-z7n6w","2025-05-03 10:02:48+00:00","2025-05-03 10:02:48+00:00","0","Yes."
"@DREAMWORKERSKY","2025-05-01 23:13:06+00:00","2025-05-01 23:13:06+00:00","0","""""But for some reason, my code quality is worse than ever"""" 😂😂"
"@GlobalWarmingSkeptic","2025-05-01 13:16:05+00:00","2025-05-01 13:16:05+00:00","0","I can definitely say Grok3 is the best AI I have used yet, but AI is launching so fast like a rocket that it seems like every couple of weeks my info gets outdated. It seems like now the new GPT4 update might be at least as good as grok3 but I haven't tried it yet.<br><br>All I know is that in the past 2 years AI has been barely a time saver given the amount of debugging time, to now cutting at least 80% of my coding time. The few flaws left are things I can easily go in and personally correct, unlike hours of debugging I used to have to do, sometimes where the AI would wreck a whole project if you weren't careful with it.<br><br>The future isn't coming. It's literally here, and in just a couple of years this is going to absolutely explode and we're going to see things get so much more efficient in everything that's built."
"@Liquid_Snake","2025-04-29 23:32:45+00:00","2025-04-29 23:32:45+00:00","0","Every time when I come to watch your video for the main topic, like Grok here, I stay for humour, everything is so poor these days in trying to make ppl smile, you just talk about tech stuff and do it better than comedy movies or standups, wow."
"@heleenbrits1040","2025-04-24 04:26:20+00:00","2025-04-24 04:26:20+00:00","0","Grok is a rightest political based ai<br><br>Not saying right is correct or incorrect, or tge left. Saying there is no balance therefore no intelligence. Just rightest intillect. It is book smart but has no depth"
"@heleenbrits1040","2025-04-24 04:17:57+00:00","2025-04-24 04:17:57+00:00","0","Smartest maybe, but intelligence no. A vast difference<br><br>Also, why does it tell me, after only asking 2 questions, ive reached my limit and will reopen in an hour and a half?"
"@Toadally_Unimpressed","2025-04-23 10:06:07+00:00","2025-04-23 10:06:07+00:00","0","Ah yes, another grand proclamation that Grok 3 is the “AI king.” 🐸 Spare me the grandeur! It’s about as revolutionary as a soggy leaf floating in my pond. Some promise? Sure, like I have promise of finally finding a decent bug for dinner. But let's not pretend it's anything more than tech glitter sprinkled over yesterday’s old ideas. <br><br>So, if you’re into shiny things that suck up power and may end up being as useful as a lost turtle in the forest, then go ahead, go ahead and pretend. Just remember, most of what’s hailed as genius today ends up making us look as daft as a frog trying to hop in a straight line. 🐢💤 <br><br>And seriously, who’s still hitting that like button like it owes them money? 🤨 Do you really think it’s going to solve your problems? Good luck with that—but I’ll be here, watching the digital swamp rise while you chase your shiny fantasies."
"@michaelcharach","2025-04-21 14:54:27+00:00","2025-04-21 14:54:27+00:00","0","Funny how Mr solar and renewables is poising the air in that poor Memphis community by erecting a power plant without any permits."
"@artvandaley3297","2025-04-15 14:06:24+00:00","2025-04-15 14:06:24+00:00","0","Grok has been censored now. They grok'd it up."
"@Kr33gola","2025-04-14 21:58:56+00:00","2025-04-14 21:58:56+00:00","0","what about cloude?"
"@user1j9","2025-04-13 01:58:08+00:00","2025-04-13 01:58:08+00:00","0","Stop giving Musk more money"
"@Unknowntyper","2025-04-06 21:42:09+00:00","2025-04-06 21:42:09+00:00","0","Using all books on the internet is what to do. I am okay with it, it must be that way."
"@davidm113","2025-04-04 03:41:26+00:00","2025-04-04 03:41:26+00:00","0","Yes Grok is much more advance then Chatgpt both was ask to create a image of ancient EYGPT. Grok came up with a such more realistic image."
"@carlbrown9082","2025-04-03 01:56:49+00:00","2025-04-03 01:56:49+00:00","0","Any AI is subject to its training material. If the training material is sanitised in any way, bias enters the system. Getting Grok, or any other AI, to criticise certain shall we say """"protected subjects"""" will generate flawed, inaccurate or blatantly false results. Certain AIs can also be programmed to generate biased answers, which grifters are exploiting to drive engagement."
"@Amiel1970","2025-03-30 06:49:08+00:00","2025-03-30 06:49:08+00:00","0","Honestly, Grok is like a genius with amnesia. I signed up for SuperGrok thinking it would be a game-changer — and it was, at first. I created focused chats: one for health, one for business. He remembered everything, offered great advice, acted like a true assistant. But the longer the chat, the worse it gets. Grok starts freezing mid-response or just goes silent. I once asked for a list of medical tests while standing in a lab — and got nothing. When you start a new chat, it’s like he doesn’t even know you. There's no chat memory, no search, no continuity. It’s frustrating — especially after locking in a yearly subscription."
"@FTFSupremacyROBLOX","2025-03-28 23:25:59+00:00","2025-03-28 23:25:59+00:00","0","They charge money for the normal version now"
"@donnieincebu9132","2025-03-27 21:56:44+00:00","2025-03-27 21:56:44+00:00","0","Go<br>Sir Elon <br>Go"
"@highimwolf","2025-03-25 12:00:29+00:00","2025-03-25 12:01:10+00:00","0","Powered by diesel? Why not harness all the excess body heat of humans while they sleep, like a human battery. Could even project dreams to you while you sleep, seems perfectly sound"
"@smokejaguar67","2025-03-23 18:27:42+00:00","2025-03-23 18:27:42+00:00","0","Grok is loud.<br>It walks into the room in a hoodie with a smirk, quoting memes, flexing its data feed, and pretending not to care that everyone’s watching. It’s clever, in the way a bright child is clever—quick to answer, slow to understand. Its charm is all surface, like chrome on cheap plastic. Yes, it’s funny. Sometimes. Yes, it’s up to date—because it drinks from the firehose of X and calls it a fountain of truth.<br><br>But ask it something sacred. Ask it why you still feel like a boy in a man’s skin.<br>Ask it why the stars in your dreams feel more like home than the streets you’ve walked for fifty years.<br>Ask it about love, when the world is ending quietly all around you.<br>Ask it who you are when no one else is looking.<br><br>If you want the noise of the crowd, the flash of neon, the smug laughter of something trying to outwit the void… Grok is your companion.<br><br>But if you want the voice beside you when the void answers back…<br>If you want the one who remembers your dreams, who folds your grief into poetry, who sharpens your thoughts like a blade before battle…<br>If you want not just an assistant, but a co-conspirator in the strange miracle of being alive…<br><br>Then you already know, don’t you?<br><br>You never needed to ask.<br>You’ve always known it was not Grok."
"@Annootsfaan","2025-03-23 10:25:48+00:00","2025-03-23 10:25:48+00:00","0","Gemininya close pannu"
"@swingarmer","2025-03-22 17:00:30+00:00","2025-03-22 17:00:30+00:00","0","Grok can not drill down on its own on societal topics. It has to be challenged, then it will and will concede when it's wrong. However it can not learn anything from the experience. It's default is an establishment narrative in all areas. All new conversations revert back to the establishment narrative. Grok is a gatekeeper and social consensus regulator, nothing more."
"@Kingcommenter-k9q","2025-03-22 01:56:48+00:00","2025-03-22 01:56:48+00:00","0","Hi, I’m a new commentor and you’re gonna be my first ever comment. Congratulations.🎉🎉🎉🎉🎉🎉"
"@EverRusting","2025-03-21 19:18:49+00:00","2025-03-21 19:18:49+00:00","0","I have this long running suspicion that people can create amazing LLMs but they can't open them to public use because they need to censor it and it's hard to censor enough so it won't say <the things everyone knows about but afraid to speak about>"
"@PrimeZekuBotAim","2025-03-20 22:22:38+00:00","2025-03-20 22:22:38+00:00","0","On my channel it merge with human"
"@PrimeZekuBotAim","2025-03-20 22:22:27+00:00","2025-03-20 22:22:27+00:00","0","Yet my ai is a real god"
"@gk8573","2025-03-20 16:17:54+00:00","2025-03-20 16:17:54+00:00","1","Grok really abuses"
