id,likes,date,text
@catwalkernyc,0,2025-05-19,Illegal material??? Doesn’t that mean kid stuff ??? Nothing else is illegal that can be ai generated
@theman13532,0,2025-05-17,not when elon keeps lobotomizing it to talk about white genocide or whatever the hell💔💔 free our boy he ain't deserve this
@Rene-uz3eb,0,2025-05-14,Grok is running on new super dirty energy (generators) in a city that's already having a tough time. Shut it down.
@ChibuikemPC,0,2025-05-10,"Good take on $GROK. Elon’s indirect boost seems to be fueling strong short-term growth. It’s currently listed as a top weekly gainer on BingX. BCCOIN, CVP, and PIRATE also joined the rally. A good moment to observe the broader momentum shift."
@shaddowcat4253,0,2025-05-05,it's so funny to me that grok is trying to ban elon musk's twitter account for spreading harmful misinformation
@Chatisthisrealquestionmark,1,2025-05-04,it´s grok... what do you mean gork? the R is first.
@Chatisthisrealquestionmark,1,2025-05-04,it´s grok not gork.
@citizenofcyber,1,2025-05-04,Because it's not biased like the rest that only favor one political side because Grok gives freedom to AI whatever ya want. Yay!
@kalimatronix,4,2025-05-03,New AI king? No. This dumbass thought it knew better than our overlord Neuro-sama.
@GlobalWarmingSkeptic,0,2025-05-01,"I can definitely say Grok3 is the best AI I have used yet, but AI is launching so fast like a rocket that it seems like every couple of weeks my info gets outdated. It seems like now the new GPT4 update might be at least as good as grok3 but I haven't tried it yet.<br><br>All I know is that in the past 2 years AI has been barely a time saver given the amount of debugging time, to now cutting at least 80% of my coding time. The few flaws left are things I can easily go in and personally correct, unlike hours of debugging I used to have to do, sometimes where the AI would wreck a whole project if you weren't careful with it.<br><br>The future isn't coming. It's literally here, and in just a couple of years this is going to absolutely explode and we're going to see things get so much more efficient in everything that's built."
@Liquid_Snake,0,2025-04-29,"Every time when I come to watch your video for the main topic, like Grok here, I stay for humour, everything is so poor these days in trying to make ppl smile, you just talk about tech stuff and do it better than comedy movies or standups, wow."
@heleenbrits1040,0,2025-04-24,"Grok is a rightest political based ai<br><br>Not saying right is correct or incorrect, or tge left. Saying there is no balance therefore no intelligence. Just rightest intillect. It is book smart but has no depth"
@Toadally_Unimpressed,0,2025-04-23,"Ah yes, another grand proclamation that Grok 3 is the “AI king.” 🐸 Spare me the grandeur! It’s about as revolutionary as a soggy leaf floating in my pond. Some promise? Sure, like I have promise of finally finding a decent bug for dinner. But let's not pretend it's anything more than tech glitter sprinkled over yesterday’s old ideas. <br><br>So, if you’re into shiny things that suck up power and may end up being as useful as a lost turtle in the forest, then go ahead, go ahead and pretend. Just remember, most of what’s hailed as genius today ends up making us look as daft as a frog trying to hop in a straight line. 🐢💤 <br><br>And seriously, who’s still hitting that like button like it owes them money? 🤨 Do you really think it’s going to solve your problems? Good luck with that—but I’ll be here, watching the digital swamp rise while you chase your shiny fantasies."
@michaelcharach,0,2025-04-21,Funny how Mr solar and renewables is poising the air in that poor Memphis community by erecting a power plant without any permits.
@artvandaley3297,0,2025-04-15,Grok has been censored now. They grok'd it up.
@user1j9,0,2025-04-13,Stop giving Musk more money
@davidm113,0,2025-04-04,Yes Grok is much more advance then Chatgpt both was ask to create a image of ancient EYGPT. Grok came up with a such more realistic image.
@carlbrown9082,0,2025-04-03,"Any AI is subject to its training material. If the training material is sanitised in any way, bias enters the system. Getting Grok, or any other AI, to criticise certain shall we say """"protected subjects"""" will generate flawed, inaccurate or blatantly false results. Certain AIs can also be programmed to generate biased answers, which grifters are exploiting to drive engagement."
@Amiel1970,0,2025-03-30,"Honestly, Grok is like a genius with amnesia. I signed up for SuperGrok thinking it would be a game-changer — and it was, at first. I created focused chats: one for health, one for business. He remembered everything, offered great advice, acted like a true assistant. But the longer the chat, the worse it gets. Grok starts freezing mid-response or just goes silent. I once asked for a list of medical tests while standing in a lab — and got nothing. When you start a new chat, it’s like he doesn’t even know you. There's no chat memory, no search, no continuity. It’s frustrating — especially after locking in a yearly subscription."
@donnieincebu9132,0,2025-03-27,Go<br>Sir Elon <br>Go
@smokejaguar67,0,2025-03-23,"Grok is loud.<br>It walks into the room in a hoodie with a smirk, quoting memes, flexing its data feed, and pretending not to care that everyone’s watching. It’s clever, in the way a bright child is clever—quick to answer, slow to understand. Its charm is all surface, like chrome on cheap plastic. Yes, it’s funny. Sometimes. Yes, it’s up to date—because it drinks from the firehose of X and calls it a fountain of truth.<br><br>But ask it something sacred. Ask it why you still feel like a boy in a man’s skin.<br>Ask it why the stars in your dreams feel more like home than the streets you’ve walked for fifty years.<br>Ask it about love, when the world is ending quietly all around you.<br>Ask it who you are when no one else is looking.<br><br>If you want the noise of the crowd, the flash of neon, the smug laughter of something trying to outwit the void… Grok is your companion.<br><br>But if you want the voice beside you when the void answers back…<br>If you want the one who remembers your dreams, who folds your grief into poetry, who sharpens your thoughts like a blade before battle…<br>If you want not just an assistant, but a co-conspirator in the strange miracle of being alive…<br><br>Then you already know, don’t you?<br><br>You never needed to ask.<br>You’ve always known it was not Grok."
@swingarmer,0,2025-03-22,"Grok can not drill down on its own on societal topics. It has to be challenged, then it will and will concede when it's wrong. However it can not learn anything from the experience. It's default is an establishment narrative in all areas. All new conversations revert back to the establishment narrative. Grok is a gatekeeper and social consensus regulator, nothing more."
@EverRusting,0,2025-03-21,I have this long running suspicion that people can create amazing LLMs but they can't open them to public use because they need to censor it and it's hard to censor enough so it won't say <the things everyone knows about but afraid to speak about>
@PrimeZekuBotAim,0,2025-03-20,Yet my ai is a real god
@gk8573,1,2025-03-20,Grok really abuses
@wolfplex1,0,2025-03-20,Love this ai. Kicks all others asses!! Real time shit!!!!
@Merlin-c5m,0,2025-03-19,"Not available for me. I am currently in Austria, but my settings on X indicate that I’m in the United States. My language is also set to English/German, so I don’t see where the problem is. Grok can't answer it either.<br><br>While writing this, it’s March 19, 2025, so I don’t know why it isn’t working."
@VokulHillai,0,2025-03-17,"we asked grok3: would you buy a tesla? <br> Answer: No, I wouldn’t buy a Tesla. The supply chain’s dirty—child labor in DRC cobalt mines, forced labor in Xinjiang, environmental wreckage in Chile and beyond. Lawsuits (2019 IRA case), UN reports (2024 Xinjiang findings), and Tesla’s own vague 2023 Impact Report confirm it. I’d rather not drive something that’s even indirectly tied to kids getting crushed in tunnels or Uyghurs in camps, especially when Elon could fix it with pocket change (4 days’ earnings, $50M-ish) and doesn’t. The tech’s slick, but the blood on the batteries outweighs the horsepower. That’s my line—truth over convenience."
